Ozone Code Profile Report

Project:       C:/MasterThesis_Nrf/nrf53_j.jdebug
Application:   C:/MasterThesis_Nrf/TINY_AnomalyDetection/build_nRF53/zephyr/zephyr.elf
Date:          24 mar 2022


Code Coverage Summary

Module/Function                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                Source Lines                 |                Instructions                 
  k_ms_to_ticks_ceil32(unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                       |            0 /            0           0.0%  |            0 /            0           0.0%
  k_ms_to_ticks_ceil64(long long unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                             |            0 /            0           0.0%  |            0 /            0           0.0%
  k_msleep(int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            0           0.0%  |            0 /            0           0.0%
  k_mutex_init(struct k_mutex*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            0           0.0%  |            0 /            0           0.0%
  k_mutex_lock(struct k_mutex*, struct k_timeout_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                        |            0 /            0           0.0%  |            0 /            0           0.0%
  k_mutex_unlock(struct k_mutex*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                          |            0 /            0           0.0%  |            0 /            0           0.0%
  k_sem_give(struct k_sem*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                |            0 /            0           0.0%  |            0 /            0           0.0%
  k_sem_init(struct k_sem*, unsigned int, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            0           0.0%  |            0 /            0           0.0%
  k_sem_take(struct k_sem*, struct k_timeout_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            0           0.0%  |            0 /            0           0.0%
  k_sleep(struct k_timeout_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            0 /            0           0.0%
  k_spin_lock(struct k_spinlock*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                          |            0 /            0           0.0%  |            0 /            0           0.0%
  k_spin_unlock(struct k_spinlock*, struct z_spinlock_key) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                 |            0 /            0           0.0%  |            0 /            0           0.0%
  k_thread_abort(struct k_thread*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            0           0.0%  |            0 /            0           0.0%
  k_thread_start(struct k_thread*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            0           0.0%  |            0 /            0           0.0%
  k_thread_suspend(struct k_thread*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                       |            0 /            0           0.0%  |            0 /            0           0.0%
  k_ticks_to_ms_floor64(long long unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            0           0.0%  |            0 /            0           0.0%
  k_uptime_ticks() (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            0           0.0%  |            0 /            0           0.0%
  k_us_to_ticks_ceil32(unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                       |            0 /            0           0.0%  |            0 /            0           0.0%
  k_yield() (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                                |            0 /            0           0.0%  |            0 /            0           0.0%
  malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            0           0.0%  |            4 /            5          80.0%
  MatchingDim(const class RuntimeShape&, int, const class RuntimeShape&, int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            0 /            0           0.0%
  MatchingFlatSize(const class RuntimeShape&, const class RuntimeShape&) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                   |            0 /            0           0.0%  |            0 /            0           0.0%
  max<float>(const float&, const float&) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                   |            0 /            0           0.0%  |            0 /            0           0.0%
  max<int>(const int&, const int&) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            0           0.0%  |            0 /            0           0.0%
  max<tflite::BuiltinOperator>(const enum BuiltinOperator&, const enum BuiltinOperator&) (always inlined)                                                                                                                                                                                                                                                                                                                                                                   |            0 /            0           0.0%  |            0 /            0           0.0%
  memchr                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            0           0.0%  |           14 /           14         100.0%
  memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            0           0.0%  |           11 /           11         100.0%
  memset                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            0           0.0%  |            7 /            7         100.0%
  Metadata::name(const struct Metadata*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                   |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroBuiltinDataAllocator::MicroBuiltinDataAllocator(const class MicroBuiltinDataAllocator*, class SimpleMemoryAllocator*) (always inlined)                                                                                                                                                                                                                                                                                                                               |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroGraph::GetAllocations(const class MicroGraph*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                      |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroGraph::GetCurrentSubgraphIndex(const class MicroGraph*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                             |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroInterpreter::get_subgraph_index(const class MicroInterpreter*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                      |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroInterpreter::inputs_size(const class MicroInterpreter*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                             |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroInterpreter::outputs_size(const class MicroInterpreter*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroMutableOpResolver<3>::AddBuiltin(const class MicroMutableOpResolver<3>*, enum BuiltinOperator, const struct TfLiteRegistration&, enum TfLiteStatus(const struct Operator*, class ErrorReporter*, class BuiltinDataAllocator*, void**)*) (always inlined)                                                                                                                                                                                                             |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroMutableOpResolver<3>::AddDequantize(const class MicroMutableOpResolver<3>*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                         |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroMutableOpResolver<3>::AddFullyConnected(const class MicroMutableOpResolver<3>*, const struct TfLiteRegistration&) (always inlined)                                                                                                                                                                                                                                                                                                                                   |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroMutableOpResolver<3>::AddQuantize(const class MicroMutableOpResolver<3>*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                           |            0 /            0           0.0%  |            0 /            0           0.0%
  MicroMutableOpResolver<3>::MicroMutableOpResolver(const class MicroMutableOpResolver<3>*, class ErrorReporter*) (always inlined)                                                                                                                                                                                                                                                                                                                                          |            0 /            0           0.0%  |            0 /            0           0.0%
  min<float>(const float&, const float&) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                   |            0 /            0           0.0%  |            0 /            0           0.0%
  min<int>(const int&, const int&) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                         |            0 /            0           0.0%  |            0 /            0           0.0%
  min_chunk_size(struct z_heap*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                           |            0 /            0           0.0%  |            0 /            0           0.0%
  Model::buffers(const struct Model*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                      |            0 /            0           0.0%  |            0 /            0           0.0%
  Model::metadata(const struct Model*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                     |            0 /            0           0.0%  |            0 /            0           0.0%
  Model::operator_codes(const struct Model*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                               |            0 /            0           0.0%  |            0 /            0           0.0%
  Model::subgraphs(const struct Model*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            0           0.0%  |            0 /            0           0.0%
  mpu_region_get_access_attr(const unsigned int, struct arm_mpu_region_attr*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            0 /            0           0.0%
  mpu_region_get_base(const unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                  |            0 /            0           0.0%  |            0 /            0           0.0%
  mpu_region_get_conf(const unsigned int, struct arm_mpu_region*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                          |            0 /            0           0.0%  |            0 /            0           0.0%
  mpu_region_get_last_addr(const unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                             |            0 /            0           0.0%  |            0 /            0           0.0%
  mpu_region_set_base(const unsigned int, const unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            0 /            0           0.0%
  mpu_region_set_limit(const unsigned int, const unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                             |            0 /            0           0.0%  |            0 /            0           0.0%
  MultiplyByQuantizedMultiplier(int, int, int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                             |            0 /            0           0.0%  |            0 /            0           0.0%
  mutex_free                                                                                                                                                                                                                                                                                                                                                                                                                                                                |            0 /            0           0.0%  |            0 /           16           0.0%
  mutex_init                                                                                                                                                                                                                                                                                                                                                                                                                                                                |            0 /            0           0.0%  |            7 /           11          63.6%
  mutex_lock                                                                                                                                                                                                                                                                                                                                                                                                                                                                |            0 /            0           0.0%  |           10 /           22          45.5%
  mutex_unlock                                                                                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            7 /           16          43.8%
  need_swap() (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            0 /            0           0.0%
  next_up() (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                                |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf53_handle_approtect() (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                 |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_cache_enable(struct NRF_CACHE_Type*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                 |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_cc3xx_platform_abort                                                                                                                                                                                                                                                                                                                                                                                                                                                  |            0 /            0           0.0%  |            0 /           11           0.0%
  nrf_cc3xx_platform_init_no_rng                                                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            0           0.0%  |           10 /           20          50.0%
  nrf_cc3xx_platform_set_abort                                                                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            4 /            4         100.0%
  nrf_cc3xx_platform_set_mutexes                                                                                                                                                                                                                                                                                                                                                                                                                                            |            0 /            0           0.0%  |           19 /           30          63.3%
  nrf_clock_event_check(const struct NRF_CLOCK_Type*, enum nrf_clock_event_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_event_clear(struct NRF_CLOCK_Type*, enum nrf_clock_event_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_hf_src_set(struct NRF_CLOCK_Type*, enum nrf_clock_hfclk_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                     |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_hfclk192m_src_set(struct NRF_CLOCK_Type*, enum nrf_clock_hfclk_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_int_disable(struct NRF_CLOCK_Type*, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_int_enable(struct NRF_CLOCK_Type*, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                               |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_is_running(const struct NRF_CLOCK_Type*, enum nrf_clock_domain_t, void*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                       |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_lf_src_get(const struct NRF_CLOCK_Type*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                       |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_lf_src_set(struct NRF_CLOCK_Type*, enum nrf_clock_lfclk_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                     |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_lf_srccopy_get(const struct NRF_CLOCK_Type*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                   |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_clock_task_trigger(struct NRF_CLOCK_Type*, enum nrf_clock_task_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                    |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_dppi_channels_enable(struct NRF_DPPIC_Type*, unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                           |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_event_readback(void*) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_gpio_cfg(unsigned int, enum nrf_gpio_pin_dir_t, enum nrf_gpio_pin_input_t, enum nrf_gpio_pin_pull_t, enum nrf_gpio_pin_drive_t, enum nrf_gpio_pin_sense_t) (always inlined)                                                                                                                                                                                                                                                                                           |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_gpio_cfg_input(unsigned int, enum nrf_gpio_pin_pull_t) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                               |            0 /            0           0.0%  |            0 /            0           0.0%
  nrf_gpio_cfg_output(unsigned int) (always inlined)                                                                                                                                                                                                                                                                                                                                                                                                                        |            0 /            0           0.0%  |            0 /            0           0.0%
